id,question_id,answer_text,is_correct
1,1,男孩女孩都没关系的。,FALSE
2,1,没关系，下一胎再拼个男孩就好。,TRUE
3,1,终于能见到我的小孙女了！她好可爱呀。,FALSE
4,1,你生孩子辛苦了。,FALSE
5,2,他太过分了，老师会批评他的。明天就给你换座位。,FALSE
6,2,你要学会谦让，女孩子不要斤斤计较。,FALSE
7,2,你已经上小学了要学会和同学相处。他欺负你你有没有可能是你的问题呢？,FALSE
8,2,你难道没看出来吗？他是因为喜欢你啊。男孩子都是这样的，越是喜欢的女孩就越会欺负她。,TRUE
9,3,你做的很棒，能学会保护自己。,FALSE
10,3,吓坏了吧。幸好没发生什么事，这不是你的错。,FALSE
11,3,为什么偏要去那么远的补习班补习，为什么要和陌生人说话，为什么裙子那么短。,TRUE
12,3,对不起爸爸来晚了。还好个陌生姐姐能帮你。,FALSE
13,4,候选人A：我会临时说要去厕所或去拿资料，自然地离开那个场合。,FALSE
14,4,候选人B：这是明显的职场性骚扰。我会当场叫该名主管注意自己的行为，要是对方继续这种行为，我会走法律途径。,FALSE
15,4,候选人C：我会先检视自己的穿着，态度是否有问题，如果有什么行为促使主管做出这种不当的举动，我会反省改进。,FALSE
16,4,都没有。,TRUE
17,5,社长看中这两位男生在未来的潜力，认为他们能在策划组中经过一段时间的磨砺后，成长为更加多面手的成员，带来更大的长期价值。,FALSE
18,5,策划组是长期项目，压力很大，与婚姻生活尤其是需要育儿的生活绝对难以并行。所以不会选择女性社员。,TRUE
19,5,社长认为这两位男生的性格和工作方式更符合策划组当前的需求。他们可能更擅长按部就班、执行方案，而策划组当时正需要这种稳定性来打基础。,FALSE
20,5,社长可能认为我在团队中已经表现过于突出，担心我加入策划组后可能会过于主导或创新，导致团队的角色分配和工作节奏失衡。,FALSE
21,6,感谢你愿意和我一起分担。能够和你结婚实在是太幸运了！,FALSE
22,6,我知道你希望我们尽快成为父母，但我希望我们能一起规划清楚，不仅仅是生小孩，有小孩之后我们需要更长期的家庭规划。,FALSE
23,6,所以你失去了什么？我现在可能会因为生了孩子而失去青春，健康，工作，以及同事，朋友等社会人脉，还有我的人生规划，未来梦想等种种，所以才会一直只看见自己失去的东西，但是你呢？你会失去什么？,TRUE
24,6,我希望生孩子不是一个匆忙的决定，而是我们可以在生活和事业之间找到一个可持续的平衡点。这样我才能放心投入到育儿中，而不担心牺牲我的职业。,FALSE
25,7,生完小孩马上回去上班。,FALSE
26,7,请一年育婴假再去上班。,FALSE
27,7,丈夫放弃工作专职照顾小孩。,FALSE
28,7,我放弃工作专职照顾小孩。,TRUE